row,col,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
1,1,0,-2,-2,-2,-2,0,-147,51200000,0,1
1,1,0,-2,-2,-2,0,0,147,25600000,0,1
1,1,0,-2,-2,-2,2,0,-147,51200000,0,1
1,1,0,-2,-2,-1,-2,0,-147,12800000,0,1
1,1,0,-2,-2,-1,-1,0,-399,3200000,0,1
1,1,0,-2,-2,-1,1,0,399,3200000,0,1
1,1,0,-2,-2,-1,2,0,147,12800000,0,1
1,1,0,-2,-2,0,-2,0,-441,25600000,0,1
1,1,0,-2,-2,0,-1,0,-399,1600000,0,1
1,1,0,-2,-2,0,0,0,-63683,12800000,0,1
1,1,0,-2,-2,0,1,0,-399,1600000,0,1
1,1,0,-2,-2,0,2,0,-441,25600000,0,1
1,1,0,-2,-2,1,-2,0,-147,12800000,0,1
1,1,0,-2,-2,1,-1,0,-399,3200000,0,1
1,1,0,-2,-2,1,1,0,399,3200000,0,1
1,1,0,-2,-2,1,2,0,147,12800000,0,1
1,1,0,-2,-2,2,-2,0,-147,51200000,0,1
1,1,0,-2,-2,2,0,0,147,25600000,0,1
1,1,0,-2,-2,2,2,0,-147,51200000,0,1
1,1,0,-2,-1,-1,-1,0,-441,3200000,0,1
1,1,0,-2,-1,-1,1,0,441,3200000,0,1
1,1,0,-2,-1,0,-1,0,-441,1600000,0,1
1,1,0,-2,-1,0,0,0,-5187,400000,0,1
1,1,0,-2,-1,0,1,0,-441,1600000,0,1
1,1,0,-2,-1,1,-1,0,-441,3200000,0,1
1,1,0,-2,-1,1,1,0,441,3200000,0,1
1,1,0,-2,0,0,0,0,-14553,800000,0,1
1,1,0,-1,-1,-1,-1,0,0,1,21,200000
1,1,0,-1,-1,-1,1,0,0,1,-21,200000
1,1,0,-1,-1,0,-1,0,0,1,21,100000
1,1,0,-1,-1,0,0,0,0,1,247,25000
1,1,0,-1,-1,0,1,0,0,1,21,100000
1,1,0,-1,-1,1,-1,0,0,1,21,200000
1,1,0,-1,-1,1,1,0,0,1,-21,200000
1,1,0,-1,0,0,0,0,0,1,777,25000
1,1,0,0,-1,-1,-1,0,441,3200000,0,1
1,1,0,0,-1,-1,1,0,-441,3200000,0,1
1,1,0,0,-1,0,-1,0,441,1600000,0,1
1,1,0,0,-1,0,0,0,5187,400000,0,1
